k,v
000200000010000012000002100002121201121122,4
000200000010000012200002110002121201121122,4
000200000011000012200002112002121201121122,5
000202002010100102010020102001022100211120,2
000202002010100102010022102001122100211120,6
020202002010100102010022102001122100211121,6
020202002010100102010022102201122110211121,2
020202002210100112010022102201122110211121,4
020202002210100112210022112201122110211121,4
022202002211100112210022112201122110211121,4
000202002010100122010012102001220102211121,2
002202002110100122010012102001220102211121,1
000200000011000012210022112002121201121122,0
000200000011200012210022112012121201121122,0
000200000011202012210122112012121201121122,0
000220010011202012210122112012121201121122,6
000222010011202012210122112012121211121122,6
000222010011202012212122112112121211121122,0
100222010011222012212122112112121211121122,6
100222110211222012212122112112121211121122,2
101222110211222212212122112112121211121122,1
000200000010000012000002100000120200121120,4
000200000211000012200002110002121200121120,0
021221002211100112210022112102121221121122,0
021221002211100112210222112112121221121122,0
021221022211101112210222112112121221121122,0
121221022211101112212222112112121221121122,6
000200000010000102010020112001022120211122,2
000200002010000102010020112001122120211122,5
000200002010100102210020112001122120211122,2
000200002010100122210021112001122120211122,4
000200002211100122210021112001122120211122,6
002200002211100122210021112101122120211122,1
012220002211100122210021112101122120211122,5
012221002211100122210021112101122122211122,0
012221002211100122210221112111122122211122,0
012221022211101122210221112111122122211122,0
112221022211101122212221112111122122211122,6
000000002010100102010020102021020102201120,6
000000002010100102010020102021022102201121,0
000200002010100102010120102021022102201121,1
000200001010000102000020100001020020201021,5
000200001010000102000020100201020120201021,4
000200001010000102000020100201020122201121,0
000200001010000102000020100211022122201121,2
000200001010000102000220100211022122211121,4
000201001010200102010020102001020102221120,6
020201001010200102010020102001020102221121,4
000200000010000002010001122021221102211120,0
000200000211000012200002110000121202121120,1
000200000211000012200002112001121202121120,5
000200000211000012210022112001121202121120,1
000001002010100102010022102001122122211122,6
020201002011100102210022112101122122211122,0
000200000011000012200002110000121202121122,1
000200000011000012200002112001121202121122,5
000200000011000012210022112001121202121122,1
000000002010100102010020102001220121211022,3
000100002010100102010022102001220121211022,0
200210010011001002100220120221021012101202,6
200210010011021002101220120221021012101202,6
200210110011021002101220120221021012101222,5
200210110011021002101220122221021112101222,5
200210110011221002111220122221021112101222,5
000200001010020102001020100201120020211002,0
000200001010020102001020100221120021211002,0
000200001010020102001120100221120021211202,2
000200001010020122001121100221120021211202,4
000200001010020122001121120221121021211202,2
020200001110020122001121120221121021211202,0
020200021110021122001121120221121021211202,6
220200121110021122001121120221121021211202,2
221200121110021122001121120221121021211222,5
221200121110021122001121122221121121211222,5
221200121110221122011121122221121121211222,5
221201121110221122211121122221121121211222,4
000200000010000102010021102001220102211122,6
000200000010000102010021102201220112211122,5
020201001010200102010020122001021102211122,0
020201001010200102010220122011021102211122,6
020201001010200102010220122211021112211122,6
020201001010200102011220122211221112211122,6
020201201010210102011220122211221112211122,4
020201201012210102111220122211221112211122,4
020211201012212102111220122211221112211122,0
220211211012212102111220122211221112211122,2
220211211012212122111221122211221112211122,2
020200201012010102102020120101221022111201,2
020200201012010122102021120101221022111201,2
022200201112010122102021120101221022111201,4
022210201112010122102021120101221022111221,0
022210201112010122102221120111221022111221,5
022210201112010122102221122111221122111221,5
022210201112210122112221122111221122111221,5
022211201112212122112221122111221122111221,0
020200001010200102010020121001022121211122,6
020200001010200102010020121121022121211122,6
020200001010220102011020121121022121211122,5
020201001010220102011020121121222121211122,0
020201001010220102011122121121222121211122,6
020201101010222102011122121121222121211122,0
020201111010222102211122121121222121211122,4
220201111011222102211122121121222121211122,4
220211111011222122211122121121222121211122,2
000202002211100112210022112002121201121120,2
001202002211100112210022112022121201121120,1
011202002211100112210022112022121201121122,4
011212002211100112210222112022121201121122,6
011212002211102112210222112022121211121122,0
011212012211102112210222112222121211121122,0
111212012211102112212222112222121211121122,6
010200002010100102010012102001222102211122,0
000201001010200102210020121001022120211122,4
020201001011200102210020121001022120211122,6
020201001011200102210020121101022122211122,4
020211001011200102212020121101022122211122,6
020211001011210102212020121121022122211122,0
020211201011210102212120121121022122211122,2
020211201011210102212122121121122122211122,0
020211221011211102212122121121122122211122,0
120211221011211122212122121121122122211122,2
010202002010100102010022102021120102211120,6
010202002010100102010022102021120122211121,6
010202002010100102010022102121122122211121,0
010202002010102102010122102121122122211121,2
010202002210102112010122102121122122211121,2
011202022210102112010122102121122122211121,4
011202022210102112210122112121122122211121,4
011222022211102112210122112121122122211121,0
111222022211102112212122112121122122211121,6
020000021010201102010220102021020102211121,2
020002021010201102010220102021120102211121,3
020102021010201102010220102021122102211121,0
120102021010201102010220122021122102211121,6
120102021010201102010220122221122112211121,6
120102021010221102011220122221122112211121,6
120102121010221102211220122221122112211121,4
120122121011221102211220122221122112211121,2
120122121011221122211221122221122112211121,2
000202000010100002010000102020020101001020,6
000202000010100002010000102020020101021021,4
000202000010100002010200102020020101021121,0
000202000010101002010200102020220101021121,2
000202000010101002010201102020222101021121,4
000202000010101002010201112020222121021121,0
200202010010101002010201112020222121021121,6
200202010010101002012201112120222121021121,6
200202210010111002012201112120222121021121,2
200202210010111012012201112120222121221121,1
200202210010111012012221112121222121221121,2
202202210110111012012221112121222121221121,1
202202212110111112012221112121222121221121,1
212202212110111112212221112121222121221121,4
000200000012000102100022112101122120211122,1
000200001012000122100022112101122120211122,2
020200001112000122100022112101122120211122,2
021200001112000122102022112101122120211122,0
021200001112020122102022112101122121211122,0
000000001010200102010020102001020121211222,3
000100001010200102010020102201020121211222,6
000100001010200102011020102201022121211222,4
000100001010200102211020112201022121211222,2
000100001010200102211022112201122121211222,0
000100001010200102211222112211122121211222,4
020100001011200102211222112211122121211222,4
020112001011200102211222112211122121211222,6
020112001011212102211222112211122121211222,6
020112121011212102211222112211122121211222,0
120112121011212122211222112211122121211222,2
000200000010000002010002102000121200121120,2
000200000010000012010002102000121200121122,4
000200000010000012210002112000121200121122,4
000200002011000112210022112001121202121122,5
000200002211100112210022112001121202121122,0
020200002211100112210022112011121202121122,5
020201002211100112210222112011121202121122,2
021201002211100112210222112011121222121122,6
021201002211102112210222112111121222121122,0
021221012211102112210222112111121222121122,0
121221012211102112212222112111121222121122,6
000200001010000102000020100201020020201001,1
010200001010000102000020100201020020221001,0
010200001010000102000020100221020021221001,0
010200001010000102000120100221020021221021,2
010200001010000102000120100221120221221021,2
010200001010000102000121102221120221221021,5
010200001010000102012121102221120221221021,6
010200001010010122012121102221120221221021,2
010200001110010122012121102221120221221221,4
010200001110210122012121102221121221221221,4
010200201110210122012121112221121221221221,4
010200201112210122112121112221121221221221,5
012201201112210122112121112221121221221221,4
012211201112212122112121112221121221221221,0
000202001010200102210020121001022110211122,4
000202001011200102210020121001022112211122,6
